거래코드,거래처코드,발행구분,거래구분,사업자번호,상호,성명,사업장주소,업태,종목,발행일자,거래내용,공급가액,세액,합계금액,결제유형,작성자,수정일자,최근사용자,transaction_contents,currency
8FB50FF178D1C549AE696065AB02288C,9C172953F9740048BD99DAC28780DC67,발행,,215-86-35051,엘아이지넥스원 주식회사,김지찬,경기도 성남시 분당구 판교로 333 LIG넥스원,"제조, 도매,  서비스업",전자기계기구 외,2024-02-26 0:00,SOLIDWORKS Professional Network with Cloud Services,48000000,4800000,52800000,현금,ksllkd,2024-02-28 0:00,ksllkd,,KRW
A8D8A32FE89954448A34FDAE81AE212C,E0DB3E7E1861E6469F9F7E267822584D,발행,,603-81-78965,㈜씨엔씨엔지니어링,박주호,부산광역시 사하구 감천항로190번안길 16(구평동),"제조, 서비스","기타특수목적용기계, 마그네트 외",2024-02-26 0:00,SPEEDWORKS 구독 (2024년 3월 1일 ~ 2025년 2월 28일),1200000,120000,1320000,현금,ksllkd,2024-02-28 0:00,ksd2046,,KRW
F01AA26D809F5D40B731176840167B4E,800DB4A14F3B944FBC630A8E0D2036B7,,,383-87-01128,㈜에노스,김요한,"경기도 시흥시 공단3대로 345, 사무동 2층(정왕동)","제조업,도소매업,서비스업",전자자동화설비 외,2024-02-27 0:00,SOLIDWORKS Premium Subscription,3800000,380000,4180000,현금,ksllkd,2024-02-28 0:00,ksllkd,,KRW
635EE939A8C57945ACBB8617D1397FAA,EB98F676ACC3C14AABE4D88B95687122,발행,,285-86-01278,주식회사 세종시스템,김민정,충청남도 아산시 신창면 서부북로 359번길 7,제조업 외,산업안전제품 외,2024-02-27 0:00,SOLIDWORKS Professional 유지보수,1800000,180000,1980000,현금,ksllkd,2024-02-27 0:00,minwooko,,KRW
7B44082A4640D84BA10507E41B4DE902,B39EB2FE537C9948A8840BD699F26C73,,,514-81-48161,한국엠엔씨 ㈜,김재국,대구광역시 동구 팔공로53길 151(봉무동),제조 외,"유공업실린더, 자동차부품",2024-02-27 0:00,GstarCAD,1200000,120000,1320000,현금,ksllkd,2024-02-27 0:00,ksllkd,,KRW
7F784333AA578544BBB1B587FF1C6A4B,9527034DBBAD034EA38B8CA366C2A57C,,,606-81-17929,㈜디제이에프,오영원,부산광역시 강서구 화전산단6로 59(화전동),"제조,부동산","관이음쇠,임대",2024-02-27 0:00,Draftsight 유지보수,2900000,290000,3190000,현금,ksllkd,2024-02-27 0:00,ksllkd,,KRW
A8BE9D06E683FA44A11749F76CBB608E,10131C48C8F6E945872853BA98E9CBAC,,,601-81-08158,㈜사라콤,고진호,부산 영도구 남항서로 6-11,제조,"정보통신기기방송장비(CCTV),해외탄광개발,지",2024-02-27 0:00,SOLIDWORKS Subscription Service,2355000,235500,2590500,현금,ksllkd,2024-02-27 0:00,ksllkd,,KRW
F8309B2DBC2817459B655E3B1A5F1A37,383EA0DF51E1564DAE90E230702B363B,,,269-81-03003,주식회사 한땀소프트,김원식,"울산광역시 중구 종가로 406-21, 씨동 350호(복산동)",도매 및 소매업 외,"컴퓨터 및 주변장치, 소프트웨어 도매업 외",2024-02-27 0:00,SOLIDWORKS Premium,14500000,1450000,15950000,현금,ksllkd,2024-02-27 0:00,ksllkd,,KRW
20200C5D601A2D408974EB79BC5063E9,6E31F3B0D818C1428ECC13981815B898,,,119-86-28311,㈜ 에이치원,조명근,"서울특별시 서초구 논현로11길 3 (양재동, 희성빌딩 6층)",서비스 외,소프트웨어개발및공급 외,2024-02-26 0:00,SOLIDWORKS 라이선스 구매,11500000,1150000,12650000,현금,ksllkd,2024-02-26 0:00,ksllkd,,KRW
25E032321D006941AAF5FC07F8009BF4,2FAB5A44B876734BA5940F24BF7BAD39,,,125-81-22281,㈜큐브릿지,이상민,"경기도 화성시 동탄물류로 48, 화성동탄물류단지 B블럭 2층(신동)",도매및상품중개업 외,"문구,의료용품,컴퓨터및주변기기판매 외",2024-02-26 0:00,SOLIDWORKS Subscription Service,18910000,1891000,20801000,현금,ksllkd,2024-02-26 0:00,ksllkd,,KRW
360101709B90F64882A82F4498EC800E,3A36B1384ECD7449802DDE81B6E0AB01,,,119-86-07451,㈜아이닉스디,최명용,경기도 안양시 만안구 덕천로10번길 1( 안양동),"제조업,도매,소매,부동산","시스템전자제품,임대",2024-02-26 0:00,SOLIDWORKS Premium Subscription 외,3200000,320000,3520000,현금,ksllkd,2024-02-26 0:00,ksllkd,,KRW
380FF9DE7CD1DF4A823EBF77AC815737,70581AB31463CF41AB1B9B2D6CEBC448,,,632-81-00126,㈜휴텍,"이윤수,정백진",경기도 화성시 정남면 정남산단1길 19,제조업 외,그 외 기타 특수 목적용 기계 제조업 외,2024-02-26 0:00,SOLIDWORKS Premium with Cloud Services,21266640,2126664,23393304,현금,ksllkd,2024-02-26 0:00,ksllkd,,KRW
3B449122144B7641B83A603635055C24,07A2EB560B88124C93C844BFF046CC38,발행,,495-82-00131,(학)일송학원 한강성심병원,윤대원,"서울특별시 영등포구 버드나무로7길 12(영등포동7가, 한강성심병원)",보건업 외,"종합, 한방병원 외",2024-02-22 0:00,rebless 소모품,204545,20455,225000,현금,ksllkd,2024-02-26 0:00,hwpark,,KRW
45067ABBEAA2EB40873C98C88F3D4CEC,01D103CBA4C3C54CB00E7EF6CF0DDB6B,발행,,824-88-01780,주식회사 하비스트,유성관,"경기도 화성시 동탄영천로 150, A동 9층 902,903호(영천동, 동탄실리콘앨리)",제조업,반도체 제조용 기계 제조업,2024-02-26 0:00,SOLIDWORKS Professional Subscription Service,4800000,480000,5280000,현금,ksllkd,2024-02-26 0:00,ksd2046,,KRW
A18DB1E9C965D44CB8B8DD05C508DCBD,6B06B8AB3AC9CA4DAE1CE3E2F3C70FF3,,,314-86-49551,주식회사 유니오텍,김진하,"대전광역시 유성구 테크노4로 17, B동 313호(관평동)","제조업,도소매 외",기타 광학 기기 제조업 외,2024-02-26 0:00,SOLIDWORKS 라이선스 구매 외 1,14500000,1450000,15950000,현금,ksllkd,2024-02-26 0:00,ksllkd,,KRW
B442F225BBF1324FBBE524DCE430FE8C,BF47E40B55BFBF46878A8C72736BED43,발행,,129-82-04787,(의) 대진의료재단분당제생병원,김재목,경기도 성남시 분당구 서현로180번길 20(서현동),"병원,부동산","종합병원,임대",2024-02-25 0:00,CD영상등록기 유지보수,477273,47727,525000,현금,ksllkd,2024-02-26 0:00,ksllkd,,KRW
