거래코드,월일,품목,규격,단위,수량,단가,공급가액,세액,합계금액,비고,순번,거래처코드,거래처명,전표번호,구분,날짜
BD3C4C9B428D2F428E0BC6D02E19E659,2.22,SOLIDWORKS Premium Network Subscription Service 6month,,,2,2500000,5000000,500000,5500000,,2,16E5FB1616105F4AA7A1B67460636E19,주식회사 아모센스,,매출,2024-02-22 0:00
0C97DFEE2E111D42A2A71B2C414555D5,2.22,SOLIDWORKS Premium Subscription Service,,,1,0,3500000,350000,3850000,,1,E44F2D79B7D0744092D444C6F19DEE6C,효성중공업㈜,,매출,2024-02-22 0:00
DADCC53725A8B749AE5226174140A5CE,2.22,의정부성모병원(CD영상등록기),,,0,0,170000,17000,187000,,1,205D0F0C5242CF4590CBE1005F6E67D4,(학)가톨릭학원의정부성모병원,,매출,2024-02-22 0:00
91D4F38A930F114091282C74618CF9F1,2.22,CD영상등록기,,,0,0,750000,75000,825000,,1,36E64F0A2425064C97505A4858E59129,서울특별시보라매병원,,매출,2024-02-22 0:00
59F7A7173C21D644A1AD920C383DE5B4,2.22,CD영상등록기 유지보수,,,0,0,360000,36000,396000,,1,753E14520EBF114F822AB266F53316F6,가톨릭대학교 여의도성모병원,,매출,2024-02-22 0:00
8BB6B1D54A5C3A4989E39A469517999F,2.21,SOLIDWORKS Premium 유지보수,,,1,0,4800000,480000,5280000,,1,A543CCCB9BF174438A048797B86F8E79,㈜유니퓨전,,매출,2024-02-21 0:00
8B695FE27F86764FA6C5AE857D8F579E,2.21,SOLIDWORKS Premium,,,1,0,14500000,1450000,15950000,,1,3CCD1EE74914174AA1E8231F296C140C,히트솔루션 주식회사,,매출,2024-02-21 0:00
7E79460399F60641A1F823D0EB6AB668,2.21,rebless 소모품,,,1,227273,227273,22727,250000,,1,0C5246EBB32A2848AAE80BE703B0C73A,아벤스병원,,매출,2024-02-21 0:00
13927C4D7E4B0643A7DF1514E5107337,2.21,SOLIDWORKS PRO 유지보수,,,1,0,2000000,200000,2200000,,1,E1126F06B184E94894D31DBAB9B17722,㈜큐텔,,매출,2024-02-21 0:00
7D0C812CD304E74DA08F0F63C2D40699,2.21,SOLIDWORKS Subscription Service 외 3건,,,1,0,10800000,1080000,11880000,,1,EB9F24B2BCFBE34982CD302B53FB0684,주식회사 랩스엠알오,,매출,2024-02-21 0:00
A74F2F0AC5CF6A499F40D392BDE3480B,2.21,SOLIDWORKS Professional Subscription Service,,,7,0,9800000,980000,10780000,,1,63B6D3671DB91A4BB6822B03B4E146EB,주식회사 제이에스케이,,매출,2024-02-21 0:00
6AAA1B4C35A50D49B4D6BCD9B808B1EB,2.21,SOLIDWORKS Subscription,,,5,0,8000000,800000,8800000,,1,08E6E13FEE1F7E45AB6576C71D1C5FE3,주식회사 에어메이저,,매출,2024-02-21 0:00
50C2B4CB34F8964981EB2173226391E3,2.21,SOLIDWORKS 사용권 강제 비활성화,,,0,0,500000,50000,550000,,1,E3E35CE00B24BA4B8D12D3787C6FA8DD,한택산업,,매출,2024-02-21 0:00
CA3C981F7676C44F9DBC1D9E6E7F7FC0,24.02.21,SOLIDWORKS Professional 사용권 비활성화,,,1,0,500000,50000,550000,,1,94B9D2B177B0AA418E07EC372AB12873,㈜인피니티에코,,매출,2024-02-21 0:00
CA3C981F7676C44F9DBC1D9E6E7F7FC0,,( 9000 0131 8499 5562 V463 89D3 ),,,0,0,0,0,0,,2,94B9D2B177B0AA418E07EC372AB12873,㈜인피니티에코,,매출,2024-02-21 0:00
0C7699237AFC504488A37B6C86373D06,2.19,SOLIDWORKS 유지보수,,,1,0,188000000,18800000,206800000,,1,47A8D500E77C9A49B2F2BF611635892C,㈜케이씨텍,,매출,2024-02-19 0:00
326A05A8F357364B8AD37629DC08BC97,2.19,Draftsight Pro 라이선스 구매,,,0,0,450000,45000,495000,,1,B95FAB43B4DB01499C5512781BF8FCDC,문화티탄아트,,매출,2024-02-19 0:00
1C438B24593EE04FB7C1DA7519683F8C,2.19,SOLIDWORKS 유지보수,,,1,0,2500000,250000,2750000,,1,281B2460FFF266419CC8FD98FD9C947F,주식회사 쿠스코,,매출,2024-02-19 0:00
951BEC86A902824BA933D4E68888905E,2.16,SOLIDWORKS Professional Subscription Service,,,1,0,2000000,200000,2200000,,1,DE5A24B0E83CD44AA38BBDEF9FE860EB,신흥에스이씨주식회사,,매출,2024-02-16 0:00
D1A61843C5B7CB4480B1880573A9D589,2.16,AutoCAD LT,,,1,0,540000,54000,594000,,1,F79541EA781913409FC4D83E76A77881,주식회사 이티에이치,,매출,2024-02-16 0:00
0534F7B1583F874282C597A39E516B1F,2.16,SOLIDWORKS Professional,,,1,12500000,12500000,1250000,13750000,,1,A4C74152E5A82D439810C8EC802F103E,㈜소프트센,,매출,2024-02-16 0:00
